0,Airport,250,169835
1,Alewife,250,242200
2,Andrew Square,250,145955
3,Aquarium,250,106188
4,Arlington,250,200813
5,Ashmont,250,203866
6,Back Bay,250,400436
7,Beachmont,250,68480
8,Bowdoin,250,38583
9,Boylston,250,192125
10,Braintree,250,107207
11,Broadway,250,131022
12,Central Square,250,406389
13,Charles MGH,250,259210
14,Chinatown,250,161724
15,Community College,250,123607
16,Copley Square,250,361080
17,Courthouse,250,29648
18,Davis Square,250,325479
19,Downtown Crossing,250,496942
20,Fields Corner,250,122236
21,Forest Hills,250,330749
22,Government Center,250,228187
23,Green Street,250,81835
24,Harvard,250,581530
25,Haymarket,250,268534
26,Hynes,250,249517
27,JFK/U Mass,250,207333
28,Jackson Square,250,137892
29,Kendall Square,250,375640
30,Kenmore Square,250,231476
31,Lechmere,250,158279
32,Malden Center ,250,269893
33,Mass Ave,250,156992
34,Maverick,250,249340
35,North Quincy,250,146855
36,North Station,250,401171
37,Oak Grove,250,134682
38,Orient Heights,250,84660
39,Park Street,250,412809
40,Porter Square,250,221055
41,Prudential,250,102975
42,Quincy Adams,250,100627
43,Quincy Center,250,192675
44,Revere Beach,250,72391
45,Riverside,250,47423
46,Roxbury Crossing,250,108174
47,Ruggles,250,258163
48,Savin Hill,250,56457
49,Science Park,250,23984
50,Shawmut,250,51981
51,South Station,250,559110
52,State Street,250,286352
53,Stony Brook,250,87346
54,Suffolk Downs,250,15619
55,Sullivan Square,250,247474
56,Symphony,250,50023
57,Tufts Medical Center,250,148548
58,Wellington ,250,162600
59,Wollaston,250,102280
60,Wonderland,250,142216
61,Wood Island,250,44437
62,World Trade Center,250,42482